ID,Route
30653,"Bremerhaven,Hamburg,Goteborg,Aarhus,Wilhelmshaven,Bremerhaven,Rotterdam,Singapore,Shanghai,Tianjin,Qingdao,Busan,Ningbo-Zhoushan,Shanghai,Shenzhen,Tanjung Pelepas,Tangier,Bremerhaven"
30656,"Rotterdam,Bremerhaven,Gdansk,Wilhelmshaven,Felixstowe,Tanjung Pelepas,Shanghai,Dalian,Busan,Kwangyang,Ningbo-Zhoushan,Shanghai,Xiamen,Shenzhen,Tanjung Pelepas,Rotterdam"
30657,"Rotterdam,Hamburg,Bremerhaven,Wilhelmshaven,Felixstowe,Antwerp,Le Havre,Tangier,Salalah,Jebel Ali,Ningbo-Zhoushan,Shanghai,Tanjung Pelepas,Rotterdam"
30781,"Felixstowe,Rotterdam,Gdansk,Wilhelmshaven,Felixstowe,Singapore,Shenzhen,Shanghai,Ningbo-Zhoushan,Xiamen,Shenzhen,Singapore,Felixstowe"
30782,"Rotterdam,Hamburg,Antwerp,Shanghai,Tianjin,Dalian,Qingdao,Shanghai,Ningbo-Zhoushan,Singapore,Piraeus,Rotterdam"
30783,"Antwerp,Hamburg,Rotterdam,Felixstowe,Southampton,Piraeus,Tanjung Pelepas,Singapore,Hong Kong,Ningbo-Zhoushan,Shanghai,Hong Kong,Guangzhou,Shenzhen,Tanjung Pelepas,Port Kelang,Piraeus,Antwerp"
30784,"Southampton,Dunkirk,Hamburg,Rotterdam,Zeebrugge,Le Havre,Khor Fakkan,Port Kelang,Xiamen,Tianjin,Busan,Ningbo-Zhoushan,Shanghai,Shenzhen,Singapore,Algeciras,Southampton"
30785,"Le Havre,Rotterdam,Hamburg,Antwerp,Le Havre,Marsaxlokk,Jeddah,Guangzhou,Qingdao,Ningbo-Zhoushan,Shanghai,Shenzhen,Ho Chi Minh City,Singapore,Le Havre"
30786,"Rotterdam,Felixstowe,Hamburg,Rotterdam,Colombo,Kaohsiung,Ningbo-Zhoushan,Shanghai,Taipei,Shenzhen,Colombo,Rotterdam"
30788,"Felixstowe,Rotterdam,Gdansk,Wilhelmshaven,Felixstowe,Singapore,Shenzhen,Shanghai,Ningbo-Zhoushan,Xiamen,Shenzhen,Singapore,Felixstowe"
30789,"Felixstowe,Rotterdam,Felixstowe,Singapore,Shenzhen,Shanghai,Ningbo-Zhoushan,Xiamen,Shenzhen,Singapore,Felixstowe"
